ST,COUNTY ID,COUNTY NAME, BROADBAND AVAILABILITY PER FCC , BROADBAND USAGE 
GA,13051,Chatham County, 0.96 , 0.53 
GA,13053,Chattahoochee County, 0.57 , 0.59 
GA,13055,Chattooga County, 0.97 , 0.15 
GA,13057,Cherokee County, 0.97 , 0.69 
GA,13059,Clarke County, 0.99 , 0.48 
GA,13061,Clay County, 0.63 , 0.02 
GA,13063,Clayton County, 0.98 , 0.41 
GA,13065,Clinch County, 0.63 , 0.05 
GA,13067,Cobb County, 0.98 , 0.65 
GA,13069,Coffee County, 0.89 , 0.24 
GA,13071,Colquitt County, 0.88 , 0.24 
GA,13073,Columbia County, 0.98 , 0.68 
GA,13075,Cook County, 0.84 , 0.14 
GA,13077,Coweta County, 0.96 , 0.54 
GA,13079,Crawford County, 0.93 , 0.06 
GA,13081,Crisp County, 0.82 , 0.25 
GA,13083,Dade County, 0.91 , 0.28 
GA,13085,Dawson County, 0.80 , 0.27 
GA,13087,Decatur County, 0.68 , 0.19 
GA,13089,DeKalb County, 0.99 , 0.55 
GA,13091,Dodge County, 0.64 , 0.11 
GA,13093,Dooly County, 0.66 , 0.07 
GA,13095,Dougherty County, 0.97 , 0.34 
GA,13097,Douglas County, 0.97 , 0.49 
GA,13099,Early County, 0.38 , 0.07 
GA,13101,Echols County, -   , 0.01 
GA,13103,Effingham County, 0.94 , 0.48 
GA,13105,Elbert County, 0.67 , 0.25 
GA,13107,Emanuel County, 0.94 , 0.22 
GA,13109,Evans County, 0.60 , 0.17 
GA,13111,Fannin County, 0.83 , 0.29 
GA,13113,Fayette County, 0.98 , 0.65 
GA,13115,Floyd County, 0.94 , 0.36 
GA,13117,Forsyth County, 0.99 , 0.93 
GA,13119,Franklin County, 0.60 , 0.10 
GA,13121,Fulton County, 0.96 , 0.73 
GA,13123,Gilmer County, 0.82 , 0.33 
GA,13125,Glascock County, 0.01 , 0.02 
GA,13127,Glynn County, 0.96 , 0.39 
GA,13129,Gordon County, 0.89 , 0.27 
GA,13131,Grady County, 0.81 , 0.17 
GA,13133,Greene County, 0.67 , 0.38 
GA,13135,Gwinnett County, 0.99 , 0.81 
GA,13137,Habersham County, 0.71 , 0.34 
GA,13139,Hall County, 0.98 , 0.50 
GA,13141,Hancock County, 0.08 , 0.09 
GA,13143,Haralson County, 1.00 , 0.13 
GA,13145,Harris County, 0.89 , 0.23 
GA,13147,Hart County, 0.68 , 0.22 
GA,13149,Heard County, 0.58 , 0.08 
GA,13151,Henry County, 1.00 , 0.57 
GA,13153,Houston County, 0.98 , 0.49 
GA,13155,Irwin County, 0.57 , 0.17 
GA,13157,Jackson County, 0.80 , 0.44 
GA,13159,Jasper County, 0.61 , 0.06 
GA,13161,Jeff Davis County, 0.68 , 0.14 
GA,13163,Jefferson County, 0.09 , 0.05 
GA,13165,Jenkins County, 0.55 , 0.05 
GA,13167,Johnson County, 0.30 , 0.09 
GA,13169,Jones County, 0.84 , 0.15 
GA,13171,Lamar County, 0.70 , 0.14 
GA,13173,Lanier County, 0.83 , 0.11 
GA,13175,Laurens County, 0.60 , 0.25 
GA,13177,Lee County, 0.92 , 0.41 
GA,13179,Liberty County, 0.94 , 0.38 
GA,13181,Lincoln County, 1.00 , 0.14 
GA,13183,Long County, 0.82 , 0.15 
GA,13185,Lowndes County, 0.89 , 0.36 
GA,13187,Lumpkin County, 0.70 , 0.21 
GA,13189,McDuffie County, 0.85 , 0.20 
GA,13191,McIntosh County, 0.97 , 0.24 
GA,13193,Macon County, 0.63 , 0.15 
GA,13195,Madison County, 0.82 , 0.13 
GA,13197,Marion County, 0.64 , 0.03 
GA,13199,Meriwether County, 0.51 , 0.09 
GA,13201,Miller County, 0.12 , 0.05 
GA,13205,Mitchell County, 0.62 , 0.10 
GA,13207,Monroe County, 0.43 , 0.12 
GA,13209,Montgomery County, 0.33 , 0.07 
GA,13211,Morgan County, 0.43 , 0.16 
GA,13213,Murray County, 0.98 , 0.22 
GA,13215,Muscogee County, 0.99 , 0.48 
GA,13217,Newton County, 0.97 , 0.37 
GA,13219,Oconee County, 0.91 , 0.38 
GA,13221,Oglethorpe County, 0.69 , 0.09 
GA,13223,Paulding County, 0.99 , 0.60 
GA,13225,Peach County, 0.83 , 0.21 
GA,13227,Pickens County, 0.89 , 0.38 
GA,13229,Pierce County, 0.73 , 0.11 
GA,13231,Pike County, 0.30 , 0.08 
GA,13233,Polk County, 0.97 , 0.26 
GA,13235,Pulaski County, 0.72 , 0.28 
GA,13237,Putnam County, 0.88 , 0.23 
GA,13239,Quitman County, 0.63 , 0.06 
GA,13241,Rabun County, 0.88 , 0.15 
GA,13243,Randolph County, 0.80 , 0.04 
GA,13245,Richmond County, 0.96 , 0.40 
GA,13247,Rockdale County, 0.98 , 0.56 
GA,13249,Schley County, 0.76 , 0.10 
GA,13251,Screven County, 0.99 , 0.36 
GA,13253,Seminole County, 0.75 , 0.14 
GA,13255,Spalding County, 0.96 , 0.39 
GA,13257,Stephens County, 0.90 , 0.25 
GA,13259,Stewart County, 0.56 , 0.02 
GA,13261,Sumter County, 0.73 , 0.22 
GA,13263,Talbot County, 0.83 , 0.05 
GA,13265,Taliaferro County, 0.91 , 0.06 
GA,13267,Tattnall County, 0.71 , 0.10 
GA,13269,Taylor County, 0.86 , 0.05 
GA,13271,Telfair County, 0.71 , 0.12 
GA,13273,Terrell County, 0.75 , 0.15 
GA,13275,Thomas County, 0.88 , 0.22 
GA,13277,Tift County, 0.86 , 0.33 
GA,13279,Toombs County, 0.44 , 0.19 
GA,13281,Towns County, 0.93 , 0.71 
GA,13283,Treutlen County, 0.13 , 0.02 
GA,13285,Troup County, 0.92 , 0.41 
GA,13287,Turner County, 0.73 , 0.14 
GA,13289,Twiggs County, 0.37 , 0.05 
GA,13291,Union County, 0.92 , 0.27 
GA,13293,Upson County, 0.92 , 0.32 
GA,13295,Walker County, 0.96 , 0.33 
GA,13297,Walton County, 0.90 , 0.58 
GA,13299,Ware County, 0.83 , 0.22 
GA,13301,Warren County, 0.00 , 0.03 
GA,13303,Washington County, 0.67 , 0.16 
GA,13305,Wayne County, 0.79 , 0.27 
GA,13307,Webster County, 0.43 , 0.03 
GA,13309,Wheeler County, 0.43 , 0.04 
GA,13311,White County, 0.83 , 0.33 
GA,13313,Whitfield County, 1.00 , 0.48 
GA,13315,Wilcox County, 0.60 , 0.09 
GA,13317,Wilkes County, 1.00 , 0.12 
GA,13319,Wilkinson County, 0.55 , 0.12 
GA,13321,Worth County, 0.70 , 0.09 
HI,15001,Hawaii County, 0.87 , 0.42 
HI,15003,Honolulu County, 0.99 , 0.60 
HI,15005,Kalawao County, 0.06 , 0.15 
HI,15007,Kauai County, 0.91 , 0.48 
HI,15009,Maui County, 0.93 , 0.47 
ID,16001,Ada County, 0.97 , 0.62 
ID,16003,Adams County, 0.35 , 0.05 
ID,16005,Bannock County, 0.90 , 0.42 
ID,16007,Bear Lake County, 0.81 , 0.17 
ID,16009,Benewah County, 0.27 , 0.04 
ID,16011,Bingham County, 0.75 , 0.28 
ID,16013,Blaine County, 0.82 , 0.39 
ID,16015,Boise County, 0.29 , 0.05 
ID,16017,Bonner County, 0.99 , 0.17 
ID,16019,Bonneville County, 0.90 , 0.56 
ID,16021,Boundary County, 0.95 , 0.04 
ID,16023,Butte County, 0.47 , 0.15 
ID,16025,Camas County, -   , 0.07 
ID,16027,Canyon County, 0.91 , 0.40 
ID,16029,Caribou County, 0.69 , 0.18 
ID,16031,Cassia County, 0.76 , 0.23 
ID,16033,Clark County, 0.93 , 0.06 
ID,16035,Clearwater County, -   , 0.04 
ID,16037,Custer County, 0.59 , 0.10 
ID,16039,Elmore County, 0.78 , 0.15 
ID,16041,Franklin County, 0.57 , 0.14 
ID,16043,Fremont County, 0.44 , 0.13 
ID,16045,Gem County, 0.83 , 0.24 
ID,16047,Gooding County, 0.55 , 0.10 
ID,16049,Idaho County, 0.01 , 0.06 
ID,16051,Jefferson County, 0.65 , 0.21 
ID,16053,Jerome County, 0.64 , 0.24 
ID,16055,Kootenai County, 0.99 , 0.40 
ID,16057,Latah County, 0.80 , 0.23 
ID,16059,Lemhi County, 0.35 , 0.04 
ID,16061,Lewis County, 0.22 , 0.03 
ID,16063,Lincoln County, 0.33 , 0.09 
ID,16065,Madison County, 0.80 , 0.52 
ID,16067,Minidoka County, 0.63 , 0.18 
ID,16069,Nez Perce County, 0.84 , 0.49 
ID,16071,Oneida County, 0.82 , 0.27 
ID,16073,Owyhee County, 0.47 , 0.06 
ID,16075,Payette County, 0.87 , 0.27 
ID,16077,Power County, 0.81 , 0.17 
ID,16079,Shoshone County, 0.58 , 0.03 
ID,16081,Teton County, 0.85 , 0.30 
ID,16083,Twin Falls County, 0.83 , 0.43 
ID,16085,Valley County, 0.71 , 0.39 
ID,16087,Washington County, 0.73 , 0.12 
IL,17001,Adams County, 0.88 , 0.49 
IL,17003,Alexander County, 0.00 , 0.03 
IL,17005,Bond County, 0.42 , 0.10 
IL,17007,Boone County, 0.96 , 0.36 
IL,17009,Brown County, 0.47 , 0.23 
IL,17011,Bureau County, 0.69 , 0.30 
IL,17013,Calhoun County, 0.01 , 0.02 
IL,17015,Carroll County, 0.75 , 0.15 
IL,17017,Cass County, 0.78 , 0.14 
IL,17019,Champaign County, 0.92 , 0.40 
IL,17021,Christian County, 0.85 , 0.27 
IL,17023,Clark County, 0.71 , 0.16 
IL,17025,Clay County, 0.86 , 0.24 
IL,17027,Clinton County, 0.72 , 0.23 
IL,17029,Coles County, 0.84 , 0.23 
IL,17031,Cook County, 0.99 , 0.54 
IL,17033,Crawford County, 0.67 , 0.18 
IL,17035,Cumberland County, 0.44 , 0.18 
IL,17037,DeKalb County, 0.97 , 0.45 
IL,17039,De Witt County, 0.73 , 0.24 
IL,17041,Douglas County, 0.75 , 0.25 
IL,17043,DuPage County, 1.00 , 0.80 
IL,17045,Edgar County, 0.88 , 0.12 
IL,17047,Edwards County, 0.67 , 0.13 
IL,17049,Effingham County, 0.67 , 0.34 
IL,17051,Fayette County, 0.51 , 0.16 
IL,17053,Ford County, 0.65 , 0.24 
IL,17055,Franklin County, 0.78 , 0.17 
IL,17057,Fulton County, 0.67 , 0.25 
IL,17059,Gallatin County, 0.67 , 0.13 
IL,17061,Greene County, 0.54 , 0.09 
IL,17063,Grundy County, 1.00 , 0.45 
IL,17065,Hamilton County, 0.60 , 0.16 
IL,17067,Hancock County, 0.73 , 0.21 
IL,17069,Hardin County, 1.00 , 0.25 
IL,17071,Henderson County, 0.41 , 0.14 
IL,17073,Henry County, 0.87 , 0.31 
IL,17075,Iroquois County, 0.46 , 0.13 
IL,17077,Jackson County, 0.91 , 0.27 
IL,17079,Jasper County, 0.31 , 0.09 
IL,17081,Jefferson County, 0.59 , 0.32 
IL,17083,Jersey County, 0.53 , 0.13 
IL,17085,Jo Daviess County, 0.74 , 0.24 
IL,17087,Johnson County, 0.13 , 0.09 
IL,17089,Kane County, 0.99 , 0.55 
IL,17091,Kankakee County, 0.95 , 0.39 
IL,17093,Kendall County, 0.99 , 0.61 
IL,17095,Knox County, 0.89 , 0.34 
IL,17097,Lake County, 1.00 , 0.63 
IL,17099,LaSalle County, 0.97 , 0.31 
IL,17101,Lawrence County, 0.55 , 0.21 
IL,17103,Lee County, 0.65 , 0.27 
IL,17105,Livingston County, 0.82 , 0.24 
IL,17107,Logan County, 0.78 , 0.34 
IL,17109,McDonough County, 0.96 , 0.33 
IL,17111,McHenry County, 1.00 , 0.58 
IL,17113,McLean County, 0.89 , 0.50 
IL,17115,Macon County, 0.92 , 0.48 
IL,17117,Macoupin County, 0.73 , 0.20 
IL,17119,Madison County, 0.98 , 0.45 
IL,17121,Marion County, 0.74 , 0.26 
IL,17123,Marshall County, 0.66 , 0.19 
IL,17125,Mason County, 0.65 , 0.08 
IL,17127,Massac County, 0.61 , 0.12 
IL,17129,Menard County, 0.54 , 0.09 
IL,17131,Mercer County, 0.60 , 0.17 
IL,17133,Monroe County, 0.92 , 0.48 
IL,17135,Montgomery County, 0.69 , 0.18 
IL,17137,Morgan County, 0.69 , 0.28 
IL,17139,Moultrie County, 0.69 , 0.16 
IL,17141,Ogle County, 0.77 , 0.27 
IL,17143,Peoria County, 0.94 , 0.39 
